Date,Prix,Variation 24h
2015-09-06,1 BTC = 207.19000000€,1.74%
2015-09-07,1 BTC = 211.32000000€,1.95%
2015-09-08,1 BTC = 215.57000000€,1.97%
2015-09-09,1 BTC = 214.71000000€,-0.4%
2015-09-10,1 BTC = 217.95000000€,1.49%
2015-09-11,1 BTC = 213.29000000€,-2.18%
2015-09-12,1 BTC = 212.22000000€,-0.5%
2015-09-13,1 BTC = 212.81000000€,0.28%
2015-09-14,1 BTC = 209.31000000€,-1.67%
2015-09-15,1 BTC = 203.40000000€,-2.91%
2015-09-16,1 BTC = 204.14000000€,0.36%
2015-09-17,1 BTC = 204.70000000€,0.27%
2015-09-18,1 BTC = 202.85000000€,-0.91%
2015-09-19,1 BTC = 204.49000000€,0.8%
2015-09-20,1 BTC = 205.79000000€,0.63%
2015-09-21,1 BTC = 203.71000000€,-1.02%
2015-09-22,1 BTC = 204.80000000€,0.53%
2015-09-23,1 BTC = 202.46000000€,-1.16%
2015-09-24,1 BTC = 206.44000000€,1.93%
2015-09-25,1 BTC = 205.53000000€,-0.44%
2015-09-26,1 BTC = 208.81000000€,1.57%
2015-09-27,1 BTC = 209.73000000€,0.44%
2015-09-28,1 BTC = 209.17000000€,-0.27%
2015-09-29,1 BTC = 207.77000000€,-0.67%
2015-09-30,1 BTC = 213.23000000€,2.56%
2015-10-01,1 BTC = 211.19000000€,-0.97%
2015-10-02,1 BTC = 211.14000000€,-0.02%
2015-10-03,1 BTC = 212.93000000€,0.84%
2015-10-04,1 BTC = 211.22000000€,-0.81%
2015-10-05,1 BTC = 212.56000000€,0.63%
2015-10-06,1 BTC = 212.64000000€,0.04%
2015-10-07,1 BTC = 214.49000000€,0.86%
2015-10-08,1 BTC = 218.48000000€,1.83%
2015-10-09,1 BTC = 216.63000000€,-0.85%
2015-10-10,1 BTC = 215.38000000€,-0.58%
2015-10-11,1 BTC = 215.57000000€,0.09%
2015-10-12,1 BTC = 215.61000000€,0.02%
2015-10-13,1 BTC = 217.26000000€,0.76%
2015-10-14,1 BTC = 216.49000000€,-0.36%
2015-10-15,1 BTC = 218.23000000€,0.8%
2015-10-16,1 BTC = 220.17000000€,0.88%
2015-10-17,1 BTC = 223.13000000€,1.33%
2015-10-18,1 BTC = 230.51000000€,3.2%
2015-10-19,1 BTC = 235.51000000€,2.12%
2015-10-20,1 BTC = 229.59000000€,-2.58%
2015-10-21,1 BTC = 232.53000000€,1.26%
2015-10-22,1 BTC = 237.44000000€,2.07%
2015-10-23,1 BTC = 234.78000000€,-1.13%
2015-10-24,1 BTC = 246.46000000€,4.74%
2015-10-25,1 BTC = 250.32000000€,1.54%
2015-10-26,1 BTC = 255.85000000€,2.16%
2015-10-27,1 BTC = 260.05000000€,1.62%
2015-10-28,1 BTC = 257.79000000€,-0.88%
2015-10-29,1 BTC = 265.79000000€,3.01%
2015-10-30,1 BTC = 276.79000000€,3.97%
2015-10-31,1 BTC = 284.68000000€,2.77%
2015-11-01,1 BTC = 296.65000000€,4.04%
2015-11-02,1 BTC = 282.41000000€,-5.04%
2015-11-03,1 BTC = 296.09000000€,4.62%
2015-11-04,1 BTC = 318.50000000€,7.04%
2015-11-05,1 BTC = 360.02000000€,11.53%
2015-11-06,1 BTC = 368.09000000€,2.19%
2015-11-07,1 BTC = 349.52000000€,-5.31%
2015-11-08,1 BTC = 342.73000000€,-1.98%
2015-11-09,1 BTC = 357.93000000€,4.25%
2015-11-10,1 BTC = 346.22000000€,-3.38%
2015-11-11,1 BTC = 352.13000000€,1.68%
2015-11-12,1 BTC = 315.33000000€,-11.67%
2015-11-13,1 BTC = 286.21000000€,-10.17%
2015-11-14,1 BTC = 309.10000000€,7.41%
2015-11-15,1 BTC = 312.61000000€,1.12%
2015-11-16,1 BTC = 309.63000000€,-0.96%
2015-11-17,1 BTC = 298.41000000€,-3.76%
2015-11-18,1 BTC = 309.68000000€,3.64%
2015-11-19,1 BTC = 314.69000000€,1.59%
2015-11-20,1 BTC = 315.92000000€,0.39%
2015-11-21,1 BTC = 304.28000000€,-3.83%
2015-11-22,1 BTC = 301.92000000€,-0.78%
2015-11-23,1 BTC = 305.75000000€,1.25%
2015-11-24,1 BTC = 304.27000000€,-0.49%
2015-11-25,1 BTC = 304.01000000€,-0.09%
2015-11-26,1 BTC = 300.15000000€,-1.29%
2015-11-27,1 BTC = 308.84000000€,2.81%
2015-11-28,1 BTC = 336.43000000€,8.2%
2015-11-29,1 BTC = 340.90000000€,1.31%
2015-11-30,1 BTC = 337.09000000€,-1.13%
2015-12-01,1 BTC = 351.09000000€,3.99%
2015-12-02,1 BTC = 357.20000000€,1.71%
2015-12-03,1 BTC = 342.33000000€,-4.34%
2015-12-04,1 BTC = 339.90000000€,-0.71%
2015-12-05,1 BTC = 331.71000000€,-2.47%
2015-12-06,1 BTC = 334.91000000€,0.96%
2015-12-07,1 BTC = 352.72000000€,5.05%
2015-12-08,1 BTC = 361.74000000€,2.49%
2015-12-09,1 BTC = 363.80000000€,0.57%
2015-12-10,1 BTC = 376.84000000€,3.46%
2015-12-11,1 BTC = 377.31000000€,0.12%
2015-12-12,1 BTC = 379.72000000€,0.63%
2015-12-13,1 BTC = 404.58000000€,6.14%
2015-12-14,1 BTC = 393.89000000€,-2.71%
2015-12-15,1 BTC = 395.59000000€,0.43%
2015-12-16,1 BTC = 401.06000000€,1.36%
2015-12-17,1 BTC = 421.85000000€,4.93%
2015-12-18,1 BTC = 413.98000000€,-1.9%
2015-12-19,1 BTC = 418.48000000€,1.08%
2015-12-20,1 BTC = 425.07000000€,1.55%
2015-12-21,1 BTC = 424.75000000€,-0.08%
2015-12-22,1 BTC = 407.26000000€,-4.29%
2015-12-23,1 BTC = 400.17000000€,-1.77%
2015-12-24,1 BTC = 397.60000000€,-0.65%
2015-12-25,1 BTC = 405.30000000€,1.9%
2015-12-26,1 BTC = 414.87000000€,2.31%
2015-12-27,1 BTC = 414.88000000€,0%
2015-12-28,1 BTC = 381.71000000€,-8.69%
2015-12-29,1 BTC = 387.80000000€,1.57%
2015-12-30,1 BTC = 384.32000000€,-0.91%
2015-12-31,1 BTC = 395.16000000€,2.74%
2016-01-01,1 BTC = 391.97000000€,-0.81%
2016-01-02,1 BTC = 396.94000000€,1.25%
2016-01-03,1 BTC = 400.52000000€,0.89%
2016-01-04,1 BTC = 399.81000000€,-0.18%
2016-01-05,1 BTC = 396.66000000€,-0.79%
2016-01-06,1 BTC = 400.14000000€,0.87%
2016-01-07,1 BTC = 401.80000000€,0.41%
2016-01-08,1 BTC = 401.23000000€,-0.14%
2016-01-09,1 BTC = 419.31000000€,4.31%
2016-01-10,1 BTC = 415.82000000€,-0.84%
2016-01-11,1 BTC = 412.17000000€,-0.89%
2016-01-12,1 BTC = 410.07000000€,-0.51%
2016-01-13,1 BTC = 415.18000000€,1.23%
2016-01-14,1 BTC = 412.73000000€,-0.59%
2016-01-15,1 BTC = 399.57000000€,-3.29%
2016-01-16,1 BTC = 397.04000000€,-0.64%
2016-01-17,1 BTC = 343.91000000€,-15.45%
2016-01-18,1 BTC = 356.13000000€,3.43%
2016-01-19,1 BTC = 352.53000000€,-1.02%
2016-01-20,1 BTC = 355.22000000€,0.76%
2016-01-21,1 BTC = 349.22000000€,-1.72%
2016-01-22,1 BTC = 380.93000000€,8.32%
2016-01-23,1 BTC = 378.66000000€,-0.6%
2016-01-24,1 BTC = 358.23000000€,-5.7%
2016-01-25,1 BTC = 359.76000000€,0.43%
2016-01-26,1 BTC = 373.67000000€,3.72%
2016-01-27,1 BTC = 363.26000000€,-2.87%
2016-01-28,1 BTC = 361.88000000€,-0.38%
2016-01-29,1 BTC = 363.67000000€,0.49%
2016-01-30,1 BTC = 348.90000000€,-4.23%
2016-01-31,1 BTC = 351.06000000€,0.62%
2016-02-01,1 BTC = 349.27000000€,-0.51%
2016-02-02,1 BTC = 343.26000000€,-1.75%
2016-02-03,1 BTC = 342.57000000€,-0.2%
2016-02-04,1 BTC = 342.95000000€,0.11%
2016-02-05,1 BTC = 333.17000000€,-2.94%
2016-02-06,1 BTC = 348.87000000€,4.5%
2016-02-07,1 BTC = 344.77000000€,-1.19%
2016-02-08,1 BTC = 336.65000000€,-2.41%
2016-02-09,1 BTC = 335.48000000€,-0.35%
2016-02-10,1 BTC = 331.90000000€,-1.08%
2016-02-11,1 BTC = 333.18000000€,0.38%
2016-02-12,1 BTC = 336.79000000€,1.07%
2016-02-13,1 BTC = 334.10000000€,-0.81%
2016-02-14,1 BTC = 339.84000000€,1.69%
2016-02-15,1 BTC = 344.50000000€,1.35%
2016-02-16,1 BTC = 357.96000000€,3.76%
2016-02-17,1 BTC = 357.07000000€,-0.25%
2016-02-18,1 BTC = 364.23000000€,1.97%
2016-02-19,1 BTC = 373.62000000€,2.51%
2016-02-20,1 BTC = 379.01000000€,1.42%
2016-02-21,1 BTC = 376.20000000€,-0.75%
2016-02-22,1 BTC = 394.96000000€,4.75%
2016-02-23,1 BTC = 391.08000000€,-0.99%
2016-02-24,1 BTC = 393.63000000€,0.65%
2016-02-25,1 BTC = 380.85000000€,-3.36%
2016-02-26,1 BTC = 383.31000000€,0.64%
2016-02-27,1 BTC = 383.82000000€,0.13%
2016-02-28,1 BTC = 391.06000000€,1.85%
2016-02-29,1 BTC = 393.98000000€,0.74%
2016-03-01,1 BTC = 393.28000000€,-0.18%
2016-03-02,1 BTC = 398.29000000€,1.26%
2016-03-03,1 BTC = 397.45000000€,-0.21%
2016-03-04,1 BTC = 390.29000000€,-1.83%
2016-03-05,1 BTC = 384.18000000€,-1.59%
2016-03-06,1 BTC = 371.52000000€,-3.41%
2016-03-07,1 BTC = 360.16000000€,-3.15%
2016-03-08,1 BTC = 366.46000000€,1.72%
2016-03-09,1 BTC = 375.24000000€,2.34%
2016-03-10,1 BTC = 373.90000000€,-0.36%
2016-03-11,1 BTC = 375.02000000€,0.3%
2016-03-12,1 BTC = 373.03000000€,-0.53%
2016-03-13,1 BTC = 375.71000000€,0.71%
2016-03-14,1 BTC = 367.35000000€,-2.28%
2016-03-15,1 BTC = 367.83000000€,0.13%
2016-03-16,1 BTC = 373.95000000€,1.64%
2016-03-17,1 BTC = 374.07000000€,0.03%
2016-03-18,1 BTC = 372.32000000€,-0.47%
2016-03-19,1 BTC = 371.53000000€,-0.21%
2016-03-20,1 BTC = 364.43000000€,-1.95%
2016-03-21,1 BTC = 364.47000000€,0.01%
2016-03-22,1 BTC = 367.09000000€,0.71%
2016-03-23,1 BTC = 366.87000000€,-0.06%
2016-03-24,1 BTC = 371.49000000€,1.24%
2016-03-25,1 BTC = 372.59000000€,0.3%
2016-03-26,1 BTC = 372.43000000€,-0.04%
2016-03-27,1 BTC = 373.37000000€,0.25%
2016-03-28,1 BTC = 374.12000000€,0.2%
2016-03-29,1 BTC = 381.55000000€,1.95%
2016-03-30,1 BTC = 378.30000000€,-0.86%
2016-03-31,1 BTC = 369.52000000€,-2.38%
2016-04-01,1 BTC = 364.78000000€,-1.3%
2016-04-02,1 BTC = 367.41000000€,0.72%
2016-04-03,1 BTC = 367.35000000€,-0.02%
2016-04-04,1 BTC = 369.95000000€,0.7%
2016-04-05,1 BTC = 369.75000000€,-0.05%
2016-04-06,1 BTC = 369.65000000€,-0.03%
2016-04-07,1 BTC = 372.66000000€,0.81%
2016-04-08,1 BTC = 371.18000000€,-0.4%
2016-04-09,1 BTC = 370.93000000€,-0.07%
2016-04-10,1 BTC = 369.12000000€,-0.49%
2016-04-11,1 BTC = 368.39000000€,-0.2%
2016-04-12,1 BTC = 369.67000000€,0.35%
2016-04-13,1 BTC = 370.90000000€,0.33%
2016-04-14,1 BTC = 374.28000000€,0.9%
2016-04-15,1 BTC = 375.47000000€,0.32%
2016-04-16,1 BTC = 377.09000000€,0.43%
2016-04-17,1 BTC = 380.94000000€,1.01%
2016-04-18,1 BTC = 382.21000000€,0.33%
2016-04-19,1 BTC = 378.39000000€,-1.01%
2016-04-20,1 BTC = 379.01000000€,0.16%
2016-04-21,1 BTC = 383.98000000€,1.29%
2016-04-22,1 BTC = 390.89000000€,1.77%
2016-04-23,1 BTC = 398.36000000€,1.88%
2016-04-24,1 BTC = 397.70000000€,-0.17%
2016-04-25,1 BTC = 400.93000000€,0.81%
2016-04-26,1 BTC = 408.15000000€,1.77%
2016-04-27,1 BTC = 412.29000000€,1%
2016-04-28,1 BTC = 414.23000000€,0.47%
2016-04-29,1 BTC = 396.50000000€,-4.47%
2016-04-30,1 BTC = 397.71000000€,0.3%
2016-05-01,1 BTC = 399.16000000€,0.36%
2016-05-02,1 BTC = 391.17000000€,-2.04%
2016-05-03,1 BTC = 395.39000000€,1.07%
2016-05-04,1 BTC = 387.01000000€,-2.17%
2016-05-05,1 BTC = 393.34000000€,1.61%
2016-05-06,1 BTC = 389.94000000€,-0.87%
2016-05-07,1 BTC = 394.08000000€,1.05%
2016-05-08,1 BTC = 404.14000000€,2.49%
2016-05-09,1 BTC = 403.05000000€,-0.27%
2016-05-10,1 BTC = 402.66000000€,-0.1%
2016-05-11,1 BTC = 406.71000000€,1%
2016-05-12,1 BTC = 397.21000000€,-2.39%
2016-05-13,1 BTC = 397.24000000€,0.01%
2016-05-14,1 BTC = 400.65000000€,0.85%
2016-05-15,1 BTC = 403.42000000€,0.69%
2016-05-16,1 BTC = 403.34000000€,-0.02%
2016-05-17,1 BTC = 404.94000000€,0.4%
2016-05-18,1 BTC = 401.91000000€,-0.75%
2016-05-19,1 BTC = 402.41000000€,0.12%
2016-05-20,1 BTC = 403.60000000€,0.29%
2016-05-21,1 BTC = 393.49000000€,-2.57%
2016-05-22,1 BTC = 395.47000000€,0.5%
2016-05-23,1 BTC = 395.61000000€,0.04%
2016-05-24,1 BTC = 391.66000000€,-1.01%
2016-05-25,1 BTC = 394.80000000€,0.8%
2016-05-26,1 BTC = 399.38000000€,1.15%
2016-05-27,1 BTC = 402.43000000€,0.76%
2016-05-28,1 BTC = 404.15000000€,0.43%
2016-05-29,1 BTC = 423.33000000€,4.53%
2016-05-30,1 BTC = 471.08000000€,10.14%
2016-05-31,1 BTC = 465.49000000€,-1.2%
2016-06-01,1 BTC = 476.46000000€,2.3%
2016-06-02,1 BTC = 477.49000000€,0.22%
2016-06-03,1 BTC = 480.81000000€,0.69%
2016-06-04,1 BTC = 482.39000000€,0.33%
2016-06-05,1 BTC = 500.79000000€,3.67%
2016-06-06,1 BTC = 504.86000000€,0.81%
2016-06-07,1 BTC = 506.19000000€,0.26%
2016-06-08,1 BTC = 514.35000000€,1.59%
2016-06-09,1 BTC = 508.62000000€,-1.13%
2016-06-10,1 BTC = 510.30000000€,0.33%
2016-06-11,1 BTC = 509.93000000€,-0.07%
2016-06-12,1 BTC = 515.56000000€,1.09%
2016-06-13,1 BTC = 529.18000000€,2.57%
2016-06-14,1 BTC = 592.24000000€,10.65%
2016-06-15,1 BTC = 623.02000000€,4.94%
2016-06-16,1 BTC = 613.28000000€,-1.59%
2016-06-17,1 BTC = 617.05000000€,0.61%
2016-06-18,1 BTC = 683.49000000€,9.72%
2016-06-19,1 BTC = 664.31000000€,-2.89%
2016-06-20,1 BTC = 672.90000000€,1.28%
2016-06-21,1 BTC = 676.87000000€,0.59%
2016-06-22,1 BTC = 648.84000000€,-4.32%
2016-06-23,1 BTC = 597.47000000€,-8.6%
2016-06-24,1 BTC = 527.59000000€,-13.25%
2016-06-25,1 BTC = 550.64000000€,4.19%
2016-06-26,1 BTC = 605.31000000€,9.03%
2016-06-27,1 BTC = 608.11000000€,0.46%
2016-06-28,1 BTC = 574.82000000€,-5.79%
2016-06-29,1 BTC = 592.13000000€,2.92%
2016-06-30,1 BTC = 587.50000000€,-0.79%
2016-07-01,1 BTC = 575.33000000€,-2.12%
2016-07-02,1 BTC = 607.76000000€,5.34%
2016-07-03,1 BTC = 609.29000000€,0.25%
2016-07-04,1 BTC = 630.64000000€,3.39%
2016-07-05,1 BTC = 599.40000000€,-5.21%
2016-07-06,1 BTC = 611.72000000€,2.01%
2016-07-07,1 BTC = 608.31000000€,-0.56%
2016-07-08,1 BTC = 613.05000000€,0.77%
2016-07-09,1 BTC = 581.37000000€,-5.45%
2016-07-10,1 BTC = 606.77000000€,4.19%
2016-07-11,1 BTC = 595.04000000€,-1.97%
2016-07-12,1 BTC = 589.18000000€,-0.99%
2016-07-13,1 BTC = 589.05000000€,-0.02%
2016-07-14,1 BTC = 610.55000000€,3.52%
2016-07-15,1 BTC = 598.04000000€,-2.09%
2016-07-16,1 BTC = 597.15000000€,-0.15%
2016-07-17,1 BTC = 604.76000000€,1.26%
2016-07-18,1 BTC = 603.56000000€,-0.2%
2016-07-19,1 BTC = 614.50000000€,1.78%
2016-07-20,1 BTC = 610.71000000€,-0.62%
2016-07-21,1 BTC = 611.56000000€,0.14%
2016-07-22,1 BTC = 606.22000000€,-0.88%
2016-07-23,1 BTC = 604.08000000€,-0.35%
2016-07-24,1 BTC = 594.42000000€,-1.63%
2016-07-25,1 BTC = 600.93000000€,1.08%
2016-07-26,1 BTC = 603.10000000€,0.36%
2016-07-27,1 BTC = 594.34000000€,-1.47%
2016-07-28,1 BTC = 594.11000000€,-0.04%
2016-07-29,1 BTC = 593.15000000€,-0.16%
2016-07-30,1 BTC = 591.92000000€,-0.21%
2016-07-31,1 BTC = 588.61000000€,-0.56%
2016-08-01,1 BTC = 585.32000000€,-0.56%
2016-08-02,1 BTC = 555.89000000€,-5.29%
2016-08-03,1 BTC = 535.12000000€,-3.88%
2016-08-04,1 BTC = 457.19000000€,-17.05%
2016-08-05,1 BTC = 509.90000000€,10.34%
2016-08-06,1 BTC = 524.54000000€,2.79%
2016-08-07,1 BTC = 522.72000000€,-0.35%
2016-08-08,1 BTC = 534.73000000€,2.25%
2016-08-09,1 BTC = 539.90000000€,0.96%
2016-08-10,1 BTC = 537.13000000€,-0.52%
2016-08-11,1 BTC = 531.42000000€,-1.07%
2016-08-12,1 BTC = 530.47000000€,-0.18%
2016-08-13,1 BTC = 529.85000000€,-0.12%
2016-08-14,1 BTC = 527.15000000€,-0.51%
2016-08-15,1 BTC = 525.39000000€,-0.33%
2016-08-16,1 BTC = 510.88000000€,-2.84%
2016-08-17,1 BTC = 509.21000000€,-0.33%
2016-08-18,1 BTC = 515.92000000€,1.3%
2016-08-19,1 BTC = 508.65000000€,-1.43%
2016-08-20,1 BTC = 507.43000000€,-0.24%
2016-08-21,1 BTC = 509.32000000€,0.37%
2016-08-22,1 BTC = 515.09000000€,1.12%
2016-08-23,1 BTC = 513.72000000€,-0.27%
2016-08-24,1 BTC = 519.16000000€,1.05%
2016-08-25,1 BTC = 516.06000000€,-0.6%
2016-08-26,1 BTC = 515.00000000€,-0.21%
2016-08-27,1 BTC = 511.39000000€,-0.71%
2016-08-28,1 BTC = 516.42000000€,0.97%
2016-08-29,1 BTC = 508.91000000€,-1.48%
2016-08-30,1 BTC = 511.98000000€,0.6%
2016-08-31,1 BTC = 512.32000000€,0.07%
2016-09-01,1 BTC = 516.43000000€,0.8%
2016-09-02,1 BTC = 513.07000000€,-0.65%
2016-09-03,1 BTC = 510.22000000€,-0.56%
2016-09-04,1 BTC = 513.85000000€,0.71%
2016-09-05,1 BTC = 531.48000000€,3.32%
2016-09-06,1 BTC = 542.00000000€,1.94%
2016-09-07,1 BTC = 542.18000000€,0.03%
2016-09-08,1 BTC = 542.75000000€,0.11%
2016-09-09,1 BTC = 547.18000000€,0.81%
2016-09-10,1 BTC = 556.03000000€,1.59%
2016-09-11,1 BTC = 554.62000000€,-0.25%
2016-09-12,1 BTC = 556.53000000€,0.34%
2016-09-13,1 BTC = 539.56000000€,-3.15%
2016-09-14,1 BTC = 541.30000000€,0.32%
2016-09-15,1 BTC = 544.45000000€,0.58%
2016-09-16,1 BTC = 544.00000000€,-0.08%
2016-09-17,1 BTC = 541.64000000€,-0.44%
2016-09-18,1 BTC = 544.21000000€,0.47%
2016-09-19,1 BTC = 542.79000000€,-0.26%
2016-09-20,1 BTC = 545.16000000€,0.43%
2016-09-21,1 BTC = 543.91000000€,-0.23%
2016-09-22,1 BTC = 544.62000000€,0.13%
2016-09-23,1 BTC = 533.97000000€,-1.99%
2016-09-24,1 BTC = 531.30000000€,-0.5%
2016-09-25,1 BTC = 537.90000000€,1.23%
2016-09-26,1 BTC = 539.34000000€,0.27%
2016-09-27,1 BTC = 536.01000000€,-0.62%
2016-09-28,1 BTC = 541.30000000€,0.98%
2016-09-29,1 BTC = 542.14000000€,0.15%
2016-09-30,1 BTC = 541.75000000€,-0.07%
2016-10-01,1 BTC = 540.34000000€,-0.26%
2016-10-02,1 BTC = 545.30000000€,0.91%
2016-10-03,1 BTC = 549.89000000€,0.83%
2016-10-04,1 BTC = 545.72000000€,-0.76%
2016-10-05,1 BTC = 546.90000000€,0.22%
2016-10-06,1 BTC = 546.71000000€,-0.03%
2016-10-07,1 BTC = 549.96000000€,0.59%
2016-10-08,1 BTC = 550.68000000€,0.13%
2016-10-09,1 BTC = 556.12000000€,0.98%
2016-10-10,1 BTC = 555.59000000€,-0.1%
2016-10-11,1 BTC = 552.88000000€,-0.49%
2016-10-12,1 BTC = 556.09000000€,0.58%
2016-10-13,1 BTC = 582.24000000€,4.49%
2016-10-14,1 BTC = 579.33000000€,-0.5%
2016-10-15,1 BTC = 574.85000000€,-0.78%
2016-10-16,1 BTC = 583.05000000€,1.41%
2016-10-17,1 BTC = 582.64000000€,-0.07%
2016-10-18,1 BTC = 585.22000000€,0.44%
2016-10-19,1 BTC = 581.18000000€,-0.7%
2016-10-20,1 BTC = 582.04000000€,0.15%
2016-10-21,1 BTC = 576.29000000€,-1%
2016-10-22,1 BTC = 579.09000000€,0.48%
2016-10-23,1 BTC = 582.17000000€,0.53%
2016-10-24,1 BTC = 601.69000000€,3.24%
2016-10-25,1 BTC = 599.90000000€,-0.3%
2016-10-26,1 BTC = 600.17000000€,0.04%
2016-10-27,1 BTC = 601.59000000€,0.24%
2016-10-28,1 BTC = 620.56000000€,3.06%
2016-10-29,1 BTC = 628.72000000€,1.3%
2016-10-30,1 BTC = 628.12000000€,-0.1%
2016-10-31,1 BTC = 645.13000000€,2.64%
2016-11-01,1 BTC = 628.48000000€,-2.65%
2016-11-02,1 BTC = 634.14000000€,0.89%
2016-11-03,1 BTC = 658.54000000€,3.71%
2016-11-04,1 BTC = 662.53000000€,0.6%
2016-11-05,1 BTC = 618.44000000€,-7.13%
2016-11-06,1 BTC = 632.02000000€,2.15%
2016-11-07,1 BTC = 631.84000000€,-0.03%
2016-11-08,1 BTC = 639.95000000€,1.27%
2016-11-09,1 BTC = 637.74000000€,-0.35%
2016-11-10,1 BTC = 646.54000000€,1.36%
2016-11-11,1 BTC = 661.01000000€,2.19%
2016-11-12,1 BTC = 657.80000000€,-0.49%
2016-11-13,1 BTC = 660.61000000€,0.43%
2016-11-14,1 BTC = 647.53000000€,-2.02%
2016-11-15,1 BTC = 647.24000000€,-0.04%
2016-11-16,1 BTC = 657.94000000€,1.63%
2016-11-17,1 BTC = 663.66000000€,0.86%
2016-11-18,1 BTC = 694.09000000€,4.38%
2016-11-19,1 BTC = 694.20000000€,0.02%
2016-11-20,1 BTC = 704.57000000€,1.47%
2016-11-21,1 BTC = 708.45000000€,0.55%
2016-11-22,1 BTC = 688.20000000€,-2.94%
2016-11-23,1 BTC = 694.84000000€,0.96%
2016-11-24,1 BTC = 707.35000000€,1.77%
2016-11-25,1 BTC = 705.33000000€,-0.29%
2016-11-26,1 BTC = 700.76000000€,-0.65%
2016-11-27,1 BTC = 701.90000000€,0.16%
2016-11-28,1 BTC = 696.55000000€,-0.77%
2016-11-29,1 BTC = 693.33000000€,-0.46%
2016-11-30,1 BTC = 695.09000000€,0.25%
2016-12-01,1 BTC = 691.61000000€,-0.5%
2016-12-02,1 BTC = 703.65000000€,1.71%
2016-12-03,1 BTC = 709.97000000€,0.89%
2016-12-04,1 BTC = 730.59000000€,2.82%
2016-12-05,1 BTC = 727.75000000€,-0.39%
2016-12-06,1 BTC = 732.25000000€,0.61%
2016-12-07,1 BTC = 714.70000000€,-2.46%
2016-12-08,1 BTC = 717.94000000€,0.45%
2016-12-09,1 BTC = 722.18000000€,0.59%
2016-12-10,1 BTC = 730.17000000€,1.09%
2016-12-11,1 BTC = 734.11000000€,0.54%
2016-12-12,1 BTC = 736.74000000€,0.36%
2016-12-13,1 BTC = 740.66000000€,0.53%
2016-12-14,1 BTC = 739.27000000€,-0.19%
2016-12-15,1 BTC = 740.04000000€,0.1%
2016-12-16,1 BTC = 739.26000000€,-0.11%
2016-12-17,1 BTC = 747.91000000€,1.16%
2016-12-18,1 BTC = 752.86000000€,0.66%
2016-12-19,1 BTC = 760.05000000€,0.95%
2016-12-20,1 BTC = 759.18000000€,-0.11%
2016-12-21,1 BTC = 764.64000000€,0.71%
2016-12-22,1 BTC = 776.29000000€,1.5%
2016-12-23,1 BTC = 796.26000000€,2.51%
